0|-14274,-15701,-1055,3770,-2621,-920,-3354,2522,-1455,-941
1|34,0,0,0
0|-14496,-17120,2483,4315,-3126,-1424,-2767,3553,-5982,1553
1|202,0,0,0
0|-13893,-14893,2129,3626,-4362,-1379,-789,6148,12737,-6316
1|139,0,0,0
0|-14110,-14048,1109,4973,-3060,-1774,-3573,-2983,3961,-2698
1|173,0,0,0
0|-14221,-16103,12,-653,-2914,-757,-4320,6550,-1973,-3572
1|180,0,0,0
0|-14638,-15907,-1772,1501,-3375,-752,-4029,-181,-1736,-801
1|63,0,0,0
0|-14205,-15706,-1195,2973,-3891,-1384,-3437,408,-1788,69
1|36,0,0,0
0|-14395,-15417,583,5368,-4229,-1309,-3008,849,-4459,1833
1|78,0,0,0
0|-13951,-14076,4666,9725,-4946,-783,-1529,4266,-7831,1349
1|69,0,0,0
0|-14221,-18513,3357,3715,-4178,-1351,-2896,-5380,16626,-4443
1|75,0,0,0
0|-14401,-14252,1165,472,480,-871,-4860,-7595,-5395,275
