0|-14448,-15898,3280,4466,3149,2575,906,-263,9089,-4175
1|65,0,0,0
0|-14395,-11532,-2183,-1179,1856,2527,2616,9730,-5373,-2430
1|96,0,0,0
0|-14866,-16300,-29,2132,2419,2309,2434,-1427,-2539,104
1|31,0,0,0
0|-14332,-15883,-2964,3967,2951,2488,1838,114,-3319,195
1|18,0,0,0
0|-14734,-15176,4970,6608,3524,2458,1031,6181,-10533,3298
1|115,0,0,0
0|-14543,-19075,3747,6281,2517,3728,1166,-7683,20047,-7383
1|51,0,0,0
0|-14364,-14062,-136,1712,-1397,3381,1743,-4412,-3559,-998
